ORDER_ID,CUSTOMER_ID,ORDER_DATE,CATEGORY,           PRICE,    QUANTITY,REVENUE,PAYMENT_METHOD,CUSTOMER_AGE,GENDER,REVIEW_SCORE,IS_RETURNED
O100000,C1328,2/27/2023,Electronics,190.4,1,190.4,Debit Card,32,Male,5,0
O100001,C1115,3/13/2023,Beauty,82.23,3,246.69,Credit Card,40,Male,2,0
O100002,C1303,8/5/2023,Electronics,302.55,4,1210.2,Credit Card,20,Male,1,1
O100003,C1112,4/30/2023,Books,417.06,2,834.12,UPI,19,Male,3,0
O100004,C1288,4/12/2023,Beauty,155.6,2,311.2,UPI,61,Female,1,0
O100005,C1113,8/18/2023,Books,202.93,4,811.72,Debit Card,45,Male,5,0
O100006,C1389,3/23/2023,Beauty,49.85,2,99.7,Bank Transfer,61,Female,4,0
O100007,C1143,3/21/2023,Clothing,27.99,3,83.97,Debit Card,24,Male,3,0
O100008,C1048,7/14/2023,Electronics,474.7,4,1898.8,Debit Card,31,Female,5,0
O100009,C1310,5/16/2023,Electronics,53.35,4,213.4,Bank Transfer,45,Male,4,0
O100010,C1499,7/13/2023,Electronics,250.11,3,750.33,UPI,52,Female,5,0
O100011,C1425,11/18/2023,Books,332.95,2,665.9,Debit Card,23,Male,3,0
O100012,C1361,2/5/2023,Electronics,20.5,2,41,PayPal,43,Female,4,0
O100013,C1041,4/30/2023,Electronics,463.7,3,1391.1,Bank Transfer,32,Female,2,0
O100014,C1233,11/22/2023,Home,27.39,4,109.56,PayPal,38,Female,4,0
O100015,C1182,4/18/2023,Beauty,415.23,2,830.46,Debit Card,42,Male,3,0
O100016,C1312,11/22/2023,Clothing,74.76,3,224.28,UPI,62,Male,2,1
O100017,C1084,8/25/2023,Sports,387.26,4,1549.04,Debit Card,25,Male,1,0
O100018,C1351,6/16/2023,Electronics,354.89,3,1064.67,PayPal,52,Male,5,0
O100019,C1413,6/11/2023,Sports,182.44,1,182.44,Debit Card,45,Male,5,0
O100020,C1109,10/18/2023,Beauty,168.79,4,675.16,Debit Card,40,Male,4,0
O100021,C1336,9/13/2023,Sports,297.69,2,595.38,Bank Transfer,44,Male,4,0
O100022,C1136,3/13/2023,Clothing,486,3,1458,UPI,18,Female,5,0
O100023,C1383,10/27/2023,Sports,131.75,3,395.25,UPI,26,Female,5,0
O100024,C1186,4/23/2023,Clothing,222.47,3,667.41,UPI,49,Female,4,0
O100025,C1047,1/25/2023,Electronics,256.74,2,513.48,PayPal,54,Male,3,0
O100026,C1406,12/15/2023,Sports,379,4,1516,UPI,30,Male,2,0
O100027,C1198,7/15/2023,Books,84.8,2,169.6,Bank Transfer,59,Female,5,0
O100028,C1498,10/11/2023,Electronics,436.37,4,1745.48,Credit Card,61,Female,3,0
O100029,C1394,11/25/2023,Home,271.97,2,543.94,Credit Card,45,Female,4,1
O100030,C1223,3/22/2023,Sports,139.71,3,419.13,Credit Card,30,Female,5,0
O100031,C1498,9/14/2023,Clothing,257.82,1,257.82,UPI,54,Male,4,0
O100032,C1446,11/17/2023,Home,125.84,3,377.52,UPI,49,Male,4,0
O100033,C1079,7/11/2023,Clothing,185,1,185,UPI,29,Male,3,0
O100034,C1307,6/15/2023,Sports,153.93,1,153.93,Credit Card,34,Male,3,1
O100035,C1476,7/5/2023,Home,208.46,3,625.38,PayPal,54,Male,3,0
O100036,C1124,10/18/2023,Electronics,341.95,1,341.95,Credit Card,61,Female,4,0
O100037,C1418,2/5/2023,Books,298.38,3,895.14,PayPal,28,Male,4,0
O100038,C1338,9/1/2023,Books,402.55,1,402.55,PayPal,51,Female,4,0
O100039,C1271,11/7/2023,Sports,49.69,1,49.69,PayPal,26,Male,3,0
O100040,C1366,6/9/2023,Sports,25.18,4,100.72,Debit Card,53,Female,1,0
O100041,C1461,9/22/2023,Sports,117.12,4,468.48,Credit Card,24,Male,3,0
O100042,C1116,2/2/2023,Home,196.43,2,392.86,Credit Card,57,Male,2,0
O100043,C1302,4/23/2023,Electronics,61.17,3,183.51,Credit Card,48,Male,5,0
O100044,C1118,2/4/2023,Electronics,331.69,2,663.38,Debit Card,19,Male,5,1
O100045,C1264,5/2/2023,Home,281.36,4,1125.44,Bank Transfer,26,Male,3,0
O100046,C1277,3/9/2023,Beauty,424.1,4,1696.4,UPI,41,Female,4,0
O100047,C1125,8/31/2023,Sports,426.21,1,426.21,PayPal,25,Male,5,0
O100048,C1050,12/4/2023,Sports,292.44,4,1169.76,Debit Card,42,Female,4,0
O100049,C1211,8/28/2023,Beauty,84.6,2,169.2,Credit Card,19,Male,4,0
O100050,C1032,7/26/2023,Beauty,116.01,1,116.01,Debit Card,21,Male,3,0
O100051,C1128,4/9/2023,Clothing,374.51,4,1498.04,UPI,25,Female,5,0
O100052,C1072,8/5/2023,Clothing,286.31,4,1145.24,Debit Card,39,Female,3,0
O100053,C1128,2/8/2023,Sports,486.64,1,486.64,UPI,25,Male,4,0
O100054,C1026,11/30/2023,Books,253.81,4,1015.24,Credit Card,64,Male,4,0
O100055,C1475,5/2/2023,Clothing,362.61,3,1087.83,Bank Transfer,21,Female,1,0
O100056,C1247,4/20/2023,Sports,92.67,4,370.68,Credit Card,47,Male,5,1
O100057,C1195,1/2/2023,Sports,188.23,1,188.23,Debit Card,54,Female,5,0
O100058,C1147,8/5/2023,Beauty,483.49,3,1450.47,UPI,50,Female,2,0
O100059,C1080,4/8/2023,Home,99.5,1,99.5,PayPal,20,Male,3,0
O100060,C1297,10/5/2023,Electronics,468.4,2,936.8,Debit Card,20,Male,4,0
O100061,C1026,10/27/2023,Sports,309.43,2,618.86,UPI,40,Male,2,0
O100062,C1030,9/18/2023,Electronics,439.3,1,439.3,PayPal,57,Male,4,0
O100063,C1305,2/4/2023,Beauty,182.95,1,182.95,PayPal,59,Female,5,0
O100064,C1062,10/19/2023,Clothing,434.2,1,434.2,UPI,24,Male,4,0
O100065,C1318,2/11/2023,Sports,326.73,4,1306.92,UPI,63,Female,5,0
O100066,C1479,5/14/2023,Clothing,172.31,4,689.24,Debit Card,51,Male,2,0
O100067,C1136,7/22/2023,Clothing,22.79,1,22.79,Debit Card,39,Female,4,0
O100068,C1162,2/7/2023,Electronics,23.49,2,46.98,Bank Transfer,32,Male,4,0
O100069,C1038,10/3/2023,Clothing,263.51,1,263.51,UPI,61,Female,5,0
O100070,C1068,6/28/2023,Electronics,421.8,4,1687.2,PayPal,47,Female,4,0
O100071,C1146,3/22/2023,Sports,364.42,1,364.42,UPI,59,Female,3,0
O100072,C1314,12/1/2023,Books,139.06,4,556.24,Credit Card,43,Female,1,1
O100073,C1478,12/6/2023,Electronics,418.81,1,418.81,PayPal,29,Female,4,0
O100074,C1060,2/24/2023,Beauty,82.44,2,164.88,UPI,49,Male,4,0
